DrawingID,PathID,Color,NoDataPoints,StrokeWidth
id_1715311433693,path 0,Preto,46,28.704967498779297
id_1715311433693,path 1,Preto,10,26.17827796936035
id_1715311433693,path 2,Preto,48,25.886356353759766
id_1715311433693,path 3,Preto,46,23.380462646484375
id_1715311433693,path 4,Preto,36,20.672321319580078
id_1715311433693,path 5,#FFCE0B0B,17,13.69381332397461
id_1715311433693,path 6,#FFCE0B0B,99,2
id_1715311433693,path 7,#FFCE0B0B,18,31.420780181884766
id_1715312152965,path 0,Vermelho,7,29.904905319213867
id_1715312290664,path 0,#FFC81B1B,42,26.01555824279785
id_1715312290664,path 1,#FFC81B1B,28,23.63310432434082
id_1715312290664,path 2,#FFC81B1B,24,35.268653869628906
id_1715312290664,path 3,#FFC81B1B,67,9.141855239868164
id_1715312396606,path 0,#FFED0000,46,33.97529983520508
id_1715312396606,path 1,#FFED0000,63,38.81803512573242
id_1715312396606,path 2,#FFED0000,49,20.263460159301758
id_1715312396606,path 3,#FF4D00FF,8,33.005859375
id_1715312396606,path 4,#FF4D00FF,60,23.566516876220703
id_1715312396606,path 5,#FF4D00FF,15,9.93324089050293
id_1715312396606,path 6,#FF4D00FF,38,8.074085235595703
id_1715312396606,path 7,#FF4D00FF,16,26.363691329956055
id_1715312396606,path 8,#FF4D00FF,9,30.847564697265625
id_1715312396606,path 9,Vermelho,3,28.439090728759766
id_1715313121330,path 0,#FF0009FF,6,32.88655471801758
id_1715313121330,path 1,#FF0009FF,27,35.40230941772461
id_1715313121330,path 2,#FFF3BC00,24,35.54450607299805
id_1715313121330,path 3,#FFF3BC00,28,17.39197540283203
id_1715313121330,path 4,#FFF3BC00,51,28.79114532470703
id_1715313121330,path 5,#FFF3BC00,25,35.7498779296875
id_1715313121330,path 6,#FFF3BC00,66,2
id_1715313530636,path 0,#FFEA4800,23,34.77547836303711
id_1715313530636,path 1,#FFEA4800,61,14.772054672241211
id_1715313530636,path 2,#FF56190D,34,35.86513900756836
id_1715313530636,path 3,#FF56190D,14,36.793983459472656
id_1715313530636,path 4,#FF56190D,11,33.014564514160156
id_1715313530636,path 5,#FF56190D,15,33.42391586303711
id_1715313530636,path 6,#FFE97700,3,34.849403381347656
id_1715313598159,path 0,#FFEA4800,25,9.379558563232422
id_1715313647757,path 0,#FFEA4800,51,16.1555118560791
id_1715313647757,path 1,#FFEA4800,14,16.663043975830078
id_1715313647757,path 2,#FF327F00,44,28.330326080322266
id_1715313647757,path 3,#FF327F00,70,26.739208221435547
id_1715359448795,path 0,#FFEA4800,42,30.652563095092773
id_1715359448795,path 1,#FFEA4800,17,11.348772048950195
id_1715359448795,path 2,#FFCF0000,36,30.795955657958984
id_1715360657191,path 0,#FFEA4800,4,38.83551788330078
id_1715360657191,path 1,#FF04940E,25,23.689006805419922
id_1715360657191,path 2,#FF04940E,53,35.55470657348633
id_1715366608603,path 0,#FFEA4800,4,38.83551788330078
id_1715366608603,path 1,#FF04940E,25,23.689006805419922
id_1715366608603,path 2,#FF04940E,53,35.55470657348633
id_1715366608603,path 4,#FF04940E,51,2
id_1715366608603,path 5,#FF04940E,41,2
id_1715366608603,path 6,#FF04940E,33,39.85563278198242
id_1715366608603,path 8,#FF04940E,2,39.77981948852539
id_1715366608603,path 9,#FF04940E,45,2
id_1715380420605,path 0,#FFEA4800,12,32.08267593383789
id_1715380420605,path 1,Preto,7,38.132259368896484
id_1715380420605,path 2,Vermelho,15,36.16132354736328
id_1715380420605,path 3,Vermelho,44,23.09709358215332
id_1715607885229,path 0,#FFEA0000,26,9.475467681884766
id_1715608838720,path 0,#FFC60606,30,36.25498962402344
id_1715609046428,path 0,#FF2E1601,28,34.29469680786133
id_1715609046428,path 1,#FF5EA000,7,32.96147537231445
id_1715609046428,path 2,#FF5EA000,8,36.71333312988281
id_1715609046428,path 3,#FFA99B1F,16,37.18552780151367
id_1715609046428,path 4,#FFA99B1F,4,31.95458984375
id_1715609540098,path 0,#FFEA4800,69,2
id_1715611005701,path 0,#FFEA4800,35,19.958820343017578
